price,date
$420.76,20210510-0632
$448.55,20210510-0632
$452.06,20210510-0632
$496.42,20210510-0632
$231.59,20210510-0702
$244.22,20210510-0702
$281.79,20210510-0702
$282.95,20210510-0702
$282.95,20210510-0702
$284.32,20210510-0702
$286.97,20210510-0702
$302.84,20210510-0702
$303.16,20210510-0702
$303.37,20210510-0702
$319.74,20210510-0702
$335.08,20210510-0702
$335.50,20210510-0702
$339.39,20210510-0702
$339.40,20210510-0702
$342.20,20210510-0702
$343.99,20210510-0702
$343.99,20210510-0702
$344.23,20210510-0702
$363.80,20210510-0702
$370.04,20210510-0702
$403.11,20210510-0702
$441.41,20210510-0702
$441.49,20210510-0702
$242.27,20210510-0732
$280.39,20210510-0732
$281.96,20210510-0732
$281.96,20210510-0732
$283.02,20210510-0732
$285.46,20210510-0732
$299.68,20210510-0732
$302.10,20210510-0732
$302.22,20210510-0732
$318.62,20210510-0732
$322.24,20210510-0732
$333.88,20210510-0732
$337.44,20210510-0732
$337.46,20210510-0732
$341.00,20210510-0732
$342.78,20210510-0732
$342.78,20210510-0732
$343.03,20210510-0732
$362.52,20210510-0732
$368.66,20210510-0732
$390.78,20210510-0732
$436.59,20210510-0732
$439.86,20210510-0732
$488.06,20210510-0732
$244.24,20210510-0802
$283.51,20210510-0802
$285.53,20210510-0802
$285.53,20210510-0802
$286.30,20210510-0802
$288.57,20210510-0802
$305.30,20210510-0802
$305.93,20210510-0802
$305.97,20210510-0802
$322.65,20210510-0802
$326.32,20210510-0802
$338.09,20210510-0802
$340.96,20210510-0802
$340.97,20210510-0802
$345.32,20210510-0802
$347.13,20210510-0802
$347.13,20210510-0802
$347.37,20210510-0802
$367.12,20210510-0802
$373.24,20210510-0802
$384.70,20210510-0802
$438.72,20210510-0802
$445.43,20210510-0802
$488.10,20210510-0802
$244.30,20210510-0832
$284.45,20210510-0832
$286.91,20210510-0832
$286.91,20210510-0832
$287.37,20210510-0832
$289.44,20210510-0832
$306.35,20210510-0832
$307.40,20210510-0832
$307.40,20210510-0832
$327.90,20210510-0832
$339.69,20210510-0832
$341.83,20210510-0832
$341.84,20210510-0832
$346.99,20210510-0832
$348.80,20210510-0832
$348.80,20210510-0832
$349.04,20210510-0832
$368.88,20210510-0832
$374.96,20210510-0832
$375.44,20210510-0832
$437.42,20210510-0832
$447.58,20210510-0832
$479.34,20210510-0832
$497.89,20210510-0832
$245.22,20210510-0902
$286.40,20210510-0902
$289.31,20210510-0902
$289.31,20210510-0902
$289.46,20210510-0902
$291.34,20210510-0902
$309.97,20210510-0902
$309.97,20210510-0902
$330.64,20210510-0902
$342.50,20210510-0902
$343.91,20210510-0902
$343.92,20210510-0902
$349.89,20210510-0902
$351.71,20210510-0902
$351.71,20210510-0902
$351.96,20210510-0902
$367.37,20210510-0902
$371.97,20210510-0902
$378.00,20210510-0902
$437.62,20210510-0902
$451.32,20210510-0902
$472.14,20210510-0902
$502.69,20210510-0902
$526.98,20210510-0902
$243.96,20210510-0932
$285.80,20210510-0932
$288.98,20210510-0932
$289.14,20210510-0932
$289.14,20210510-0932
$290.66,20210510-0932
$309.79,20210510-0932
$309.79,20210510-0932
$330.44,20210510-0932
$342.28,20210510-0932
$342.93,20210510-0932
$342.95,20210510-0932
$349.68,20210510-0932
$351.51,20210510-0932
$351.51,20210510-0932
$351.76,20210510-0932
$355.96,20210510-0932
$371.75,20210510-0932
$377.70,20210510-0932
$433.92,20210510-0932
$451.05,20210510-0932
$460.67,20210510-0932
$503.04,20210510-0932
$525.81,20210510-0932
$242.98,20210510-1002
$285.53,20210510-1002
$288.84,20210510-1002
$289.30,20210510-1002
$289.30,20210510-1002
$290.31,20210510-1002
$309.97,20210510-1002
$309.97,20210510-1002
$330.63,20210510-1002
$342.36,20210510-1002
$342.37,20210510-1002
$342.45,20210510-1002
$344.97,20210510-1002
$349.88,20210510-1002
$351.71,20210510-1002
$351.71,20210510-1002
$351.96,20210510-1002
$371.96,20210510-1002
$377.83,20210510-1002
$430.73,20210510-1002
$449.74,20210510-1002
$451.32,20210510-1002
$503.97,20210510-1002
$525.25,20210510-1002
$240.16,20210510-1032
$283.09,20210510-1032
$286.49,20210510-1032
$287.26,20210510-1032
$287.26,20210510-1032
$287.75,20210510-1032
$307.78,20210510-1032
$307.78,20210510-1032
$328.30,20210510-1032
$331.44,20210510-1032
$339.17,20210510-1032
$339.19,20210510-1032
$340.01,20210510-1032
$347.42,20210510-1032
$349.23,20210510-1032
$349.23,20210510-1032
$349.48,20210510-1032
$369.34,20210510-1032
$375.08,20210510-1032
$424.28,20210510-1032
$435.47,20210510-1032
$448.13,20210510-1032
$501.05,20210510-1032
$520.70,20210510-1032
$280.31,20210510-1102
$283.27,20210510-1102
$283.62,20210510-1102
$284.31,20210510-1102
$284.34,20210510-1102
$284.34,20210510-1102
$304.65,20210510-1102
$304.65,20210510-1102
$317.05,20210510-1102
$324.96,20210510-1102
$334.96,20210510-1102
$334.97,20210510-1102
