price,date,min,max,median
470.57,20210512-0815,470.57,1734.44,513.35
513.35,20210512-0815,470.57,1734.44,513.35
1734.44,20210512-0815,470.57,1734.44,513.35
473.1,20210512-0830,473.1,1744.3,516.1
516.1,20210512-0830,473.1,1744.3,516.1
1744.3,20210512-0830,473.1,1744.3,516.1
470.93,20210512-0845,470.93,1736.89,513.74
513.74,20210512-0845,470.93,1736.89,513.74
1736.89,20210512-0845,470.93,1736.89,513.74
473.58,20210512-0900,473.58,1747.23,516.63
516.63,20210512-0900,473.58,1747.23,516.63
1747.23,20210512-0900,473.58,1747.23,516.63
471.31,20210512-0915,471.31,1739.43,514.16
514.16,20210512-0915,471.31,1739.43,514.16
1739.43,20210512-0915,471.31,1739.43,514.16
468.3,20210512-0930,468.3,1728.86,510.87
510.87,20210512-0930,468.3,1728.86,510.87
1728.86,20210512-0930,468.3,1728.86,510.87
470.64,20210512-0945,470.64,1738.07,513.42
513.42,20210512-0945,470.64,1738.07,513.42
1738.07,20210512-0945,470.64,1738.07,513.42
474.21,20210512-1000,474.21,1751.83,517.32
517.32,20210512-1000,474.21,1751.83,517.32
1751.83,20210512-1000,474.21,1751.83,517.32
473.84,20210512-1015,473.84,1751.06,516.92
516.92,20210512-1015,473.84,1751.06,516.92
1751.06,20210512-1015,473.84,1751.06,516.92
478.15,20210512-1030,478.15,1767.55,521.62
521.62,20210512-1030,478.15,1767.55,521.62
1767.55,20210512-1030,478.15,1767.55,521.62
478.61,20210512-1045,478.61,1769.8,522.11
522.11,20210512-1045,478.61,1769.8,522.11
1769.8,20210512-1045,478.61,1769.8,522.11
476.0,20210512-1100,476.0,1760.73,519.27
519.27,20210512-1100,476.0,1760.73,519.27
1760.73,20210512-1100,476.0,1760.73,519.27
469.33,20210512-1115,469.33,1736.62,511.99
511.99,20210512-1115,469.33,1736.62,511.99
1736.62,20210512-1115,469.33,1736.62,511.99
466.9,20210512-1130,466.9,1728.2,509.34
509.34,20210512-1130,466.9,1728.2,509.34
1728.2,20210512-1130,466.9,1728.2,509.34
464.64,20210512-1145,464.64,1720.39,506.88
506.88,20210512-1145,464.64,1720.39,506.88
1720.39,20210512-1145,464.64,1720.39,506.88
463.18,20210512-1200,463.18,1715.56,505.29
505.29,20210512-1200,463.18,1715.56,505.29
1715.56,20210512-1200,463.18,1715.56,505.29
462.15,20210512-1215,462.15,1712.31,504.17
504.17,20210512-1215,462.15,1712.31,504.17
1712.31,20210512-1215,462.15,1712.31,504.17
455.77,20210512-1230,455.77,1689.21,497.2
497.2,20210512-1230,455.77,1689.21,497.2
1689.21,20210512-1230,455.77,1689.21,497.2
450.96,20210512-1245,450.96,1671.93,491.96
491.96,20210512-1245,450.96,1671.93,491.96
1671.93,20210512-1245,450.96,1671.93,491.96
454.88,20210512-1300,454.88,1687.01,496.23
496.23,20210512-1300,454.88,1687.01,496.23
1687.01,20210512-1300,454.88,1687.01,496.23
460.59,20210512-1315,460.59,1708.75,502.46
502.46,20210512-1315,460.59,1708.75,502.46
1708.75,20210512-1315,460.59,1708.75,502.46
457.01,20210512-1330,457.01,1696.02,498.56
498.56,20210512-1330,457.01,1696.02,498.56
1696.02,20210512-1330,457.01,1696.02,498.56
458.98,20210512-1345,458.98,1703.88,500.71
500.71,20210512-1345,458.98,1703.88,500.71
1703.88,20210512-1345,458.98,1703.88,500.71
457.39,20210512-1400,457.39,1698.51,498.97
498.97,20210512-1400,457.39,1698.51,498.97
1698.51,20210512-1400,457.39,1698.51,498.97
453.38,20210512-1415,453.38,1684.17,494.59
494.59,20210512-1415,453.38,1684.17,494.59
1684.17,20210512-1415,453.38,1684.17,494.59
448.56,20210512-1430,448.56,1666.82,489.34
489.34,20210512-1430,448.56,1666.82,489.34
1666.82,20210512-1430,448.56,1666.82,489.34
440.91,20210512-1445,440.91,1638.92,480.99
480.99,20210512-1445,440.91,1638.92,480.99
1638.92,20210512-1445,440.91,1638.92,480.99
441.81,20210512-1500,441.81,1642.8,481.97
481.97,20210512-1500,441.81,1642.8,481.97
1642.8,20210512-1500,441.81,1642.8,481.97
437.29,20210512-1515,437.29,1626.52,477.04
477.04,20210512-1515,437.29,1626.52,477.04
1626.52,20210512-1515,437.29,1626.52,477.04
442.59,20210512-1530,442.59,1646.78,482.83
482.83,20210512-1530,442.59,1646.78,482.83
1646.78,20210512-1530,442.59,1646.78,482.83
443.98,20210512-1545,443.98,1652.48,484.35
484.35,20210512-1545,443.98,1652.48,484.35
1652.48,20210512-1545,443.98,1652.48,484.35
446.96,20210512-1600,446.96,1664.09,487.59
487.59,20210512-1600,446.96,1664.09,487.59
1664.09,20210512-1600,446.96,1664.09,487.59
449.91,20210512-1615,449.91,1675.64,490.82
490.82,20210512-1615,449.91,1675.64,490.82
1675.64,20210512-1615,449.91,1675.64,490.82
447.35,20210512-1630,447.35,1666.65,488.02
488.02,20210512-1630,447.35,1666.65,488.02
1666.65,20210512-1630,447.35,1666.65,488.02
450.72,20210512-1645,450.72,1679.74,491.7
491.7,20210512-1645,450.72,1679.74,491.7
1679.74,20210512-1645,450.72,1679.74,491.7
451.93,20210512-1700,451.93,1684.79,493.02
493.02,20210512-1700,451.93,1684.79,493.02
1684.79,20210512-1700,451.93,1684.79,493.02
450.09,20210512-1715,450.09,1678.48,491.01
491.01,20210512-1715,450.09,1678.48,491.01
1678.48,20210512-1715,450.09,1678.48,491.01
454.79,20210512-1730,454.79,1696.55,496.14
496.14,20210512-1730,454.79,1696.55,496.14
1696.55,20210512-1730,454.79,1696.55,496.14
454.61,20210512-1745,454.61,1696.42,495.94
495.94,20210512-1745,454.61,1696.42,495.94
1696.42,20210512-1745,454.61,1696.42,495.94
452.72,20210512-1800,452.72,1689.89,493.87
493.87,20210512-1800,452.72,1689.89,493.87
1689.89,20210512-1800,452.72,1689.89,493.87
451.77,20210512-1815,451.77,1686.91,492.84
492.84,20210512-1815,451.77,1686.91,492.84
1686.91,20210512-1815,451.77,1686.91,492.84
449.81,20210512-1830,449.81,1680.13,490.7
490.7,20210512-1830,449.81,1680.13,490.7
1680.13,20210512-1830,449.81,1680.13,490.7
443.14,20210512-1845,443.14,1655.74,483.42
483.42,20210512-1845,443.14,1655.74,483.42
1655.74,20210512-1845,443.14,1655.74,483.42
459.43,20210512-1900,459.43,1717.17,501.2
501.2,20210512-1900,459.43,1717.17,501.2
1717.17,20210512-1900,459.43,1717.17,501.2
